make,model,mileage,fuel-type,first-registration,price,price_label,position,seller_name,seller_location,listing_zip_code,listing_url,title,drive_type,extended_range,car_type
ford,mustang mach-e,1,e,new,63900,fair-price,64,Ford - Thoen Sterrenbeoordeling 4 van 5 (7),Mark De Vidts • BE-9300 Aalst,9300,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-99kwh-awd-gt-elektrisch-blauw-d766524a-e62a-42c1-b420-946029b45d0a,Ford Mustang Mach-E 99kWh AWD GT,AWD,yes,GT
ford,mustang mach-e,59570,e,11-2021,33900,unknown,65,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-rwd-76kwh-standard-range-258ch-190kw-a1-elektrisch-zwart-7fe0a2cb-336c-44b4-8911-3306e2b40f18,Ford Mustang Mach-E RWD 76kWh Standard Range 258ch/190kW - A1,RWD,no,unknown
ford,mustang mach-e,18125,e,12-2022,45000,top-price,66,Peerlings Automotive Sterrenbeoordeling 5 van 5 (32),Peerlings Automotive • BE-3900 Pelt,3900,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-99-kwh-premium-awd-elektrisch-rood-cba4e8b8-06a4-438c-b42a-b656445ff2a3,Ford Mustang Mach-E 99 kWh Premium AWD,AWD,yes,Premium
ford,mustang mach-e,21300,e,07-2022,54801,unknown,67,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-mach-e-gt-elektrisch-oranje-d46758c8-fd60-4dd8-abf0-e9c7fc37f579,Ford Mustang Mach-E Mach-E GT,unknown,unknown,GT
ford,mustang mach-e,13000,e,12-2022,59000,somewhat-expensive,68,Garage Vandeputte BV Sterrenbeoordeling 3 van 5 (1),Steven Vandeputte • BE-8552 Moen,8552,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-99-kwh-awd-extended-range-gt-elektrisch-blauw-a9996d09-1180-477d-a16b-d5e61b698f21,Ford Mustang Mach-E 99 kWh AWD Extended Range GT,AWD,yes,GT
ford,mustang mach-e,25974,e,10-2021,40322,unknown,69,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-mach-e-first-edition-elektrisch-rood-ceeb4dbe-762a-402a-bd45-b10be5db5b8c,Ford Mustang Mach-E Mach-E First Edition,unknown,unknown,unknown
ford,mustang mach-e,18700,e,01-2024,44500,fair-price,70,Car Company BV Sterrenbeoordeling 5 van 5 (397),Geert Willaert • BE-8830 Gits (Hooglede),8830,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-76-kwh-rwd-leder-gps-360cam-panodak-dab-led-elektrisch-grijs-7bdef097-ab21-4423-91af-8bdde2281941,Ford Mustang Mach-E 76 kWh RWD*LEDER*GPS*360°CAM*PANODAK*DAB*LED,RWD,no,unknown
ford,mustang mach-e,22000,e,05-2024,47795,fair-price,71,Garage Feyaerts NV Sterrenbeoordeling 4 van 5 (10),Eli Michiels • BE-3150 Haacht,3150,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-demowagen-premium-rwd-99kwh-carbonized-grey-elektrisch-ef3167db-5491-426a-b4fb-1ceb92f944f9,Ford Mustang Mach-E DEMOWAGEN*PREMIUM RWD 99KWH*CARBONIZED GREY,RWD,yes,Premium
ford,mustang mach-e,7500,e,09-2023,48000,good-price,72,Van Mossel Ford Brasschaat Sterrenbeoordeling 5 van 5 (6),BE-2930 Brasschaat,2930,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-76kwh-awd-premium-pano-camera-elektrisch-wit-e0c776a2-ba1b-44e8-b5a8-3cbb271a6756,Ford Mustang Mach-E 76kWh AWD Premium - Pano - Camera,AWD,no,Premium
ford,mustang mach-e,5,e,04-2025,65990,top-price,73,AB Automotive nv Sterrenbeoordeling 4.5 van 5 (19),BE-1800 Vilvoorde,1800,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-mach-e-gt-carbonized-grey-elektrisch-grijs-cb0ab8dc-2d7f-425b-aac2-276c630193a0,Ford Mustang Mach-E * Mach E - GT - Carbonized grey *,unknown,unknown,GT
ford,mustang mach-e,31520,e,06-2021,49630,unknown,74,AutoScout24 Luxembourg,BE-6700 Arlon,6700,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-mach-e-elektrisch-zwart-64a08078-89f4-4e0b-b749-71d5843e5f7a,Ford Mustang Mach-E Mach-E,unknown,unknown,unknown
ford,mustang mach-e,34926,e,12-2022,44900,somewhat-expensive,75,FordStore Bilzen Sterrenbeoordeling 5 van 5 (23),Christophe de Schaetzen • BE-3740 Bilzen,3740,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-awd-extended-range-99kwh-demo-wagen-tec-elektrisch-wit-a63908f9-ba35-4411-834a-610b798c19b4,Ford Mustang Mach-E Premium AWD Extended Range 99KWh Demo wagen // Tec,AWD,yes,Premium
ford,mustang mach-e,25800,e,01-2023,49000,expensive,76,Private Seller,Not specified,8670,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-premium-99kwh-elektrisch-44058d03-d61d-428f-b769-dc466bda46d1,Ford Mustang Mach-E PREMIUM 99kwh,unknown,yes,Premium
ford,mustang mach-e,15,e,01-2024,61299,good-price,77,Van Mossel Ford Brasschaat Sterrenbeoordeling 5 van 5 (6),BE-2930 Brasschaat,2930,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-gt-extended-range-awd-pano-b-o-360-view-elektrisch-grijs-fe9d695e-3a61-49a9-a765-f40b7b7d8230,Ford Mustang Mach-E GT Extended Range AWD - Pano - B&O - 360 view,AWD,yes,GT
ford,mustang mach-e,15062,e,03-2022,42500,fair-price,78,Garage Teirlynck bvba Sterrenbeoordeling 5 van 5 (155),Karl Teirlynck • BE-8790 Waregem,8790,https://www.autoscout24.be/nl/aanbod/ford-mustang-mach-e-rwd-76kwh-269pk-full-option-22-15000km-54786-elektrisch-rood-3e463e09-2df5-47e7-9cee-99f3c4f9774d,Ford Mustang Mach-E RWD 76KWh 269pk Full Option '22 15000km (54786),RWD,no,unknown
